bulan;Inflasi
1;28,54166667
2;27,29166667
3;28,33333333
4;24,51388889
5;21,94444444
6;22,36111111
7;17,08333333
8;21,59722222
9;27,22222222
10;28,26388889
11;30,76388889
12;29,30555556
13;29,65277778
14;26,875
15;26,52777778
16;26,25
17;25,27777778
18;31,38888889
19;30,20833333
20;38,95833333
21;34,16666667
22;29,44444444
23;32,08333333
24;35
25;35,625
26;37,91666667
27;77,01388889
28;77,63888889
29;71,59722222
30;71,04166667
31;77,22222222
32;67,63888889
33;62,77777778
34;62,91666667
35;66,18055556
36;63,54166667
37;58,95833333
38;62,15277778
39;27,01388889
40;22,70833333
41;25,41666667
42;26,80555556
43;25,20833333
44;28,61111111
45;27,01388889
46;25,06944444
47;26,18055556
48;25,41666667
49;28,54166667
50;31,59722222
51;31,11111111
52;29,93055556
53;29,09722222
54;31,66666667
55;29,44444444
56;34,51388889
57;40
58;44,30555556
59;46,04166667
60;46,45833333
61;51,73611111
62;50,97222222
63;51,18055556
64;50,55555556
65;46,25
66;38,68055556
67;33,75
68;35,55555556
69;31,31944444
70;25,27777778
71;17,01388889
72;13,26388889
73;13,54166667
74;14,09722222
75;12,29166667
76;11,18055556
77;13,75
78;17,5
79;18,125
80;15,48611111
81;18,81944444
82;17,77777778
83;21,18055556
84;26,52777778
85;28,05555556
86;21,38888889
87;25,48611111
88;27,29166667
89;31,66666667
90;29,30555556
91;30,83333333
92;29,51388889
93;26,11111111
94;27,63888889
95;24,58333333
96;20,90277778
97;22,15277778
98;20,90277778
99;19,58333333
100;17,70833333
101;17,98611111
102;17,01388889
103;16,38888889
104;19,23611111
105;17,01388889
106;19,79166667
107;20,34722222
108;20,55555556
109;20,69444444
110;18,81944444
111;20,90277778
112;18,88888889
113;16,875
114;20,625
115;22,98611111
116;21,45833333
117;24,79166667
118;24,09722222
119;21,45833333
120;37,56944444
121;38,81944444
122;33,61111111
123;35,55555556
124;35,90277778
125;35,97222222
126;34,86111111
127;34,375
128;31,38888889
129;30,90277778
130;31,38888889
131;25,48611111
132;20,34722222
133;19,375
134;20,34722222
135;22,43055556
136;26,59722222
137;35,83333333
138;31,66666667
139;27,01388889
140;27,63888889
141;30,48611111
142;30,20833333
143;30,97222222
144;30,97222222
145;30,41666667
146;30,76388889
147;26,73611111
148;22,84722222
149;14,93055556
150;17,63888889
151;19,58333333
152;19,79166667
153;12,91666667
154;14,79166667
155;15,625
156;13,95833333
157;13,81944444
158;12,98611111
159;14,65277778
160;16,52777778
161;12,63888889
162;15,90277778
163;18,26388889
164;16,73611111
165;17,84722222
166;18,95833333
167;19,23611111
168;18,61111111
169;18,19444444
170;17,5
171;16,52777778
172;12,70833333
173;16,73611111
174;14,23611111
175;13,75
176;12,77777778
177;15,34722222
178;14,09722222
179;13,33333333
180;13,75
181;12,63888889
182;14,44444444
183;13,61111111
184;14,09722222
185;13,40277778
186;14,02777778
187;12,29166667
188;11,66666667
189;14,09722222
190;14,72222222
191;14,44444444
192;14,72222222
193;15,90277778
194;15,20833333
195;13,40277778
196;300
197;13,33333333
198;13,05555556
199;15,13888889
200;15
201;12,98611111
202;9,652777778
203;10,83333333
204;7,916666667
205;6,388888889
206;7,083333333
207;7,222222222
208;8,263888889
209;8,888888889
210;7,986111111
211;6,805555556
212;6,736111111
213;7,083333333
214;8,888888889
215;6,458333333
216;7,777777778
217;8,263888889
218;4,583333333
219;8,75
220;9,375
221;10,20833333
222;9,583333333
223;8,75
224;12,77777778
225;15,76388889
226;16,31944444
227;19,09722222
228;23,19444444
229;21,45833333
230;27,43055556
231;25,76388889
232;23,75
233;24,375
234;22,77777778
235;24,09722222
236;23,40277778
237;18,95833333
238;400
239;16,11111111
240;13,05555556
241;14,375
